Complexity metrics,Fri, 5 Apr 2019 16:21:49 BST,,,,,,,
Method,ev(G),iv(G),LOC,v(G),,,,5,
com.inet.jortho.AboutDialog.AboutDialog(JDialog),1,7,8,7,,,,5,
"com.inet.jortho.AddWordAction.AddWordAction(JTextComponent,String)",1,1,11,1,,,,5,
"com.inet.jortho.AddWordAction.AddWordAction(JTextComponent,String,String)",1,1,15,1,,,,5,
com.inet.jortho.AddWordAction.actionPerformed(ActionEvent),1,2,13,2,,,,5,
com.inet.jortho.AllTests.init(),4,3,21,5,,,,5,
com.inet.jortho.AllTests.suite(),1,1,8,1,,,,5,
"com.inet.jortho.AutoSpellChecker.AutoSpellChecker(JTextComponent,SpellCheckerOptions)",1,2,9,2,,,,5,
com.inet.jortho.AutoSpellChecker.changedUpdate(DocumentEvent),1,1,6,1,,,,5,
com.inet.jortho.AutoSpellChecker.checkAll(),5,3,3,6,,,,4,5
com.inet.jortho.AutoSpellChecker.checkElement(Element),3,6,43,12,,,,4,5
"com.inet.jortho.AutoSpellChecker.checkElements(int,int)",2,3,19,5,,,,5,4
com.inet.jortho.AutoSpellChecker.disable(JTextComponent),1,3,16,3,,,,5,5
com.inet.jortho.AutoSpellChecker.insertUpdate(DocumentEvent),1,1,6,1,,,,5,5
com.inet.jortho.AutoSpellChecker.languageChanged(LanguageChangeEvent),1,1,8,1,,,,5,5
com.inet.jortho.AutoSpellChecker.refresh(JTextComponent),1,3,15,3,,,,5,5
com.inet.jortho.AutoSpellChecker.removeHighlights(JTextComponent),1,3,14,3,,,,4.875,4.857142857
com.inet.jortho.AutoSpellChecker.removeUpdate(DocumentEvent),1,1,6,1,,,,,
"com.inet.jortho.CheckerListener.CheckerListener(JComponent,SpellCheckerOptions)",1,2,15,2,,,,,
"com.inet.jortho.CheckerListener.addMenuItemAddToDictionary(JTextComponent,String,boolean)",2,4,26,5,,,,,
"com.inet.jortho.CheckerListener.addSuggestionMenuItem(JTextComponent,int,int,List<Suggestion>,boolean)",1,4,5,4,,,,,
com.inet.jortho.CheckerListener.getCursorPosition(JTextComponent),3,5,38,7,,,,,
com.inet.jortho.CheckerListener.languageChanged(LanguageChangeEvent),1,1,7,1,,,,,
com.inet.jortho.CheckerListener.popupMenuCanceled(PopupMenuEvent),1,1,6,1,,,,,
com.inet.jortho.CheckerListener.popupMenuWillBecomeInvisible(PopupMenuEvent),1,1,6,1,,,,,
com.inet.jortho.CheckerListener.popupMenuWillBecomeVisible(PopupMenuEvent),6,9,51,9,,,,,
com.inet.jortho.CheckerMenu.CheckerMenu(SpellCheckerOptions),1,1,5,1,,,,,
com.inet.jortho.CheckerMenu.hierarchyChanged(HierarchyEvent),1,4,12,4,,,,,
com.inet.jortho.CheckerPopup.CheckerPopup(SpellCheckerOptions),1,1,4,1,,,,,
com.inet.jortho.DefaultMessageHandler.DefaultMessageHandler(JFrame),1,1,8,1,,,,,
"com.inet.jortho.DefaultMessageHandler.handleError(String,String,Throwable)",1,1,7,1,,,,,
com.inet.jortho.DefaultMessageHandler.handleException(Throwable),1,1,6,1,,,,,
"com.inet.jortho.DefaultMessageHandler.handleInformation(Container,String,String)",1,1,6,1,,,,,
com.inet.jortho.Dictionary.Dictionary(),1,1,7,1,,,,,
com.inet.jortho.Dictionary.Dictionary(char[]),1,1,8,1,,,,,
com.inet.jortho.Dictionary.add(String),3,3,21,4,,,,,
com.inet.jortho.Dictionary.checkSize(int),1,2,11,2,,,,,
com.inet.jortho.Dictionary.createNewNode(),1,1,15,1,,,,,
com.inet.jortho.Dictionary.getDataSize(),1,1,6,1,,,,,
com.inet.jortho.Dictionary.insertChar(char),1,1,22,4,,,,,
com.inet.jortho.Dictionary.load(InputStream),1,2,18,2,,,,,
com.inet.jortho.Dictionary.load(String),1,1,9,1,,,,,
com.inet.jortho.Dictionary.save(OutputStream),1,2,16,2,,,,,
com.inet.jortho.Dictionary.save(String),1,1,13,1,,,,,
com.inet.jortho.Dictionary.searchCharOrAdd(char),4,1,14,6,,,,,
com.inet.jortho.Dictionary.toArray(),1,1,9,1,,,,,
com.inet.jortho.Dictionary.trimToSize(),1,1,11,1,,,,,
com.inet.jortho.DictionaryBase.DictionaryBase(),1,1,6,1,4.8,,,,
com.inet.jortho.DictionaryBase.DictionaryBase(char[]),1,1,4,1,,,,,
"com.inet.jortho.DictionaryBase.charDiff(char,char)",3,1,18,3,,,,,
com.inet.jortho.DictionaryBase.exist(String),5,3,23,9,,,,,
com.inet.jortho.DictionaryBase.isWordMatch(),1,1,6,1,,,,,
com.inet.jortho.DictionaryBase.readIndex(),1,1,6,1,,,,,
com.inet.jortho.DictionaryBase.searchChar(char),2,1,15,5,,,,,
com.inet.jortho.DictionaryBase.searchSuggestions(String),2,2,17,3,,,,,
"com.inet.jortho.DictionaryBase.searchSuggestions(Suggestions,CharSequence,int,int,int)",2,16,99,21,,,,,
"com.inet.jortho.DictionaryBase.searchSuggestionsLonger(Suggestions,CharSequence,int,int)",1,2,10,3,,,,,
com.inet.jortho.DictionaryEditDialog.DeleteAction.actionPerformed(ActionEvent),1,2,11,2,,,,,
com.inet.jortho.DictionaryEditDialog.DictionaryEditDialog(JDialog),1,1,3,1,,,,,
com.inet.jortho.DictionaryEditDialog.ExportAction.actionPerformed(ActionEvent),3,3,22,4,,,,,
com.inet.jortho.DictionaryEditDialog.ImportAction.actionPerformed(ActionEvent),3,4,27,5,,,,,
com.inet.jortho.DictionaryEditDialog.dispose(),1,6,25,6,,,,,
com.inet.jortho.DictionaryEditDialog.getPreferredSize(),1,1,14,2,,,,,
com.inet.jortho.DictionaryEditDialog.getSuggestedFile(),1,1,7,1,,,,,
com.inet.jortho.DictionaryEditDialog.getWordList(),1,3,16,3,,,,,
com.inet.jortho.DictionaryEditDialog.loadWordList(DefaultListModel),1,3,14,3,,,,,
"com.inet.jortho.DictionaryEditDialog.loadWordList(DefaultListModel,HashSet<String>,Iterator<String>)",1,5,21,5,,,,,
com.inet.jortho.DictionaryFactory.DictionaryFactory(),1,1,6,1,,,,,
com.inet.jortho.DictionaryFactory.Node.Node(char),1,1,3,1,,,,,
com.inet.jortho.DictionaryFactory.Node.save(DictionaryFactory),1,3,23,4,,,,,
com.inet.jortho.DictionaryFactory.Node.searchCharOrAdd(char),4,2,17,4,,,,,
com.inet.jortho.DictionaryFactory.add(String),3,2,16,3,,,,,
com.inet.jortho.DictionaryFactory.checkSize(int),1,2,11,2,,,,,
com.inet.jortho.DictionaryFactory.create(),1,1,14,1,,,,,
com.inet.jortho.DictionaryFactory.loadWordList(URL),1,1,14,1,,,,,
com.inet.jortho.DictionaryFactory.loadWords(Iterator<String>),1,4,8,4,,,,,
"com.inet.jortho.EventTest.assertEquals(String,JRadioButtonMenuItem,JRadioButtonMenuItem)",1,1,7,1,,,,,
com.inet.jortho.EventTest.testChangeLanguage(),1,1,33,5,,,,,
com.inet.jortho.FileUserDictionary.FileUserDictionary(),1,1,7,1,,,,,
com.inet.jortho.FileUserDictionary.FileUserDictionary(String),1,2,15,4,,,,,
com.inet.jortho.FileUserDictionary.addWord(String),1,3,16,3,,,,,
com.inet.jortho.FileUserDictionary.getWords(Locale),1,1,13,2,,,,,
com.inet.jortho.FileUserDictionary.setUserWords(String),1,2,13,2,,,,,
"com.inet.jortho.LanguageBundle.existInDictionary(String,Dictionary,SpellCheckerOptions,boolean)",1,7,19,7,,,,,
com.inet.jortho.LanguageBundle.get(Locale),1,1,8,1,,,,,
com.inet.jortho.LanguageBundle.getKeys(),1,1,4,1,,,,,
com.inet.jortho.LanguageBundle.handleGetObject(String),1,1,4,1,,,,,
"com.inet.jortho.LanguageBundle_fr.existInDictionary(String,Dictionary,SpellCheckerOptions,boolean)",4,5,23,6,,,,,
"com.inet.jortho.LanguageChangeEvent.LanguageChangeEvent(Locale,Locale)",1,1,9,1,,,,,
com.inet.jortho.LanguageChangeEvent.getCurrentLocale(),1,1,9,1,,,,,
com.inet.jortho.LanguageChangeEvent.getOldLocale(),1,1,8,1,,,,,
com.inet.jortho.LowMemoryArrayList.add(E),1,2,15,2,,,,,
"com.inet.jortho.LowMemoryArrayList.add(int,E)",1,2,21,2,,,,,
com.inet.jortho.LowMemoryArrayList.get(int),1,1,12,1,,,,,
com.inet.jortho.LowMemoryArrayList.size(),1,1,8,2,,,,,
com.inet.jortho.MemoryTest.testCreateLanguagesMenu(),1,3,14,3,,,,,
com.inet.jortho.MemoryTest.testRegister(),1,4,29,4,,,,,
com.inet.jortho.MemoryTest.usedMemory(),4,2,24,4,,,,,
com.inet.jortho.PopupListener.PopupListener(JPopupMenu),1,1,3,1,,,,,
com.inet.jortho.PopupListener.maybeShowPopup(MouseEvent),1,2,5,2,,,,,
com.inet.jortho.PopupListener.mousePressed(MouseEvent),1,1,4,1,,,,,
com.inet.jortho.PopupListener.mouseReleased(MouseEvent),1,1,4,1,,,,,
com.inet.jortho.RedZigZagPainter.RedZigZagPainter(),1,1,3,1,,,,,
"com.inet.jortho.RedZigZagPainter.drawZigZagLine(Graphics,Rectangle)",1,1,14,1,,,,,
"com.inet.jortho.RedZigZagPainter.paintLayer(Graphics,int,int,Shape,JTextComponent,View)",2,3,18,4,,,,,
com.inet.jortho.SpellChecker.AbtsractLanguageAction.AbtsractLanguageAction(String),1,1,3,1,,,,,
com.inet.jortho.SpellChecker.AbtsractLanguageAction.setSelected(boolean),1,3,16,4,,,,,
com.inet.jortho.SpellChecker.ActionToggleButtonModel.ActionToggleButtonModel(AbtsractLanguageAction),1,1,3,1,,,,,
com.inet.jortho.SpellChecker.ActionToggleButtonModel.isSelected(),1,1,7,1,,,,,
com.inet.jortho.SpellChecker.ActionToggleButtonModel.setSelected(boolean),2,2,25,4,,,,,
com.inet.jortho.SpellChecker.DisableLanguageAction.DisableLanguageAction(),1,1,3,1,,,,,
com.inet.jortho.SpellChecker.DisableLanguageAction.actionPerformed(ActionEvent),2,1,17,2,,,,,
"com.inet.jortho.SpellChecker.LanguageAction.LanguageAction(URL,Locale,String)",1,1,6,1,,,,,
com.inet.jortho.SpellChecker.LanguageAction.actionPerformed(ActionEvent),2,7,35,8,,,,,
com.inet.jortho.SpellChecker.LanguageAction.compareTo(LanguageAction),1,1,6,1,,,,,
com.inet.jortho.SpellChecker.LanguageAction.equals(Object),2,2,7,2,,,,,
com.inet.jortho.SpellChecker.LanguageAction.hashCode(),1,1,4,1,,,,,
com.inet.jortho.SpellChecker.SpellChecker(),1,1,4,1,,,,,
com.inet.jortho.SpellChecker.addLanguageChangeLister(LanguageChangeListener),1,1,11,1,,,,,
com.inet.jortho.SpellChecker.createCheckerMenu(),1,1,9,1,,,,,
com.inet.jortho.SpellChecker.createCheckerMenu(SpellCheckerOptions),1,1,10,1,,,,,
com.inet.jortho.SpellChecker.createCheckerPopup(),1,1,11,1,,,,,
com.inet.jortho.SpellChecker.createCheckerPopup(SpellCheckerOptions),1,1,11,1,,,,,
com.inet.jortho.SpellChecker.createLanguagesMenu(),1,1,13,1,,,,,
com.inet.jortho.SpellChecker.createLanguagesMenu(SpellCheckerOptions),1,5,35,5,,,,,
"com.inet.jortho.SpellChecker.enableAutoSpell(JTextComponent,boolean)",1,1,12,1,,,,,
"com.inet.jortho.SpellChecker.enableAutoSpell(JTextComponent,boolean,SpellCheckerOptions)",1,2,18,2,,,,,
"com.inet.jortho.SpellChecker.enablePopup(JTextComponent,boolean,boolean)",1,5,25,5,,,,,
"com.inet.jortho.SpellChecker.enableShortKey(JTextComponent,boolean)",1,1,9,1,,,,,
"com.inet.jortho.SpellChecker.enableShortKey(JTextComponent,boolean,SpellCheckerOptions)",1,2,3,2,,,,,
com.inet.jortho.SpellChecker.fireLanguageChanged(Locale),1,2,13,2,,,,,
com.inet.jortho.SpellChecker.getApplicationName(),1,1,6,1,,,,,
com.inet.jortho.SpellChecker.getCurrentDictionary(),1,1,8,1,,,,,
com.inet.jortho.SpellChecker.getCurrentLocale(),1,1,10,1,,,,,
com.inet.jortho.SpellChecker.getCustomDictionaryProvider(),1,1,8,1,,,,,
com.inet.jortho.SpellChecker.getCustomUIProvider(),1,1,8,1,,,,,
com.inet.jortho.SpellChecker.getMessageHandler(),1,1,9,1,,,,,
com.inet.jortho.SpellChecker.getOptions(),1,1,7,1,,,,,
com.inet.jortho.SpellChecker.getUserDictionaryProvider(),1,1,8,1,,,,,
com.inet.jortho.SpellChecker.isDictionaryLoaded(),1,2,7,2,,,,,
com.inet.jortho.SpellChecker.register(JTextComponent),1,1,12,1,,,,,
"com.inet.jortho.SpellChecker.register(JTextComponent,boolean,boolean,boolean,boolean)",1,4,28,4,,,,,
"com.inet.jortho.SpellChecker.registerDictionaries(URL,String)",1,7,82,8,,,,,
"com.inet.jortho.SpellChecker.registerDictionaries(URL,String,String)",1,1,34,1,,,,,
"com.inet.jortho.SpellChecker.registerDictionaries(URL,String,String,String)",1,9,77,10,,,,,
com.inet.jortho.SpellChecker.removeLanguageChangeLister(LanguageChangeListener),1,1,7,1,,,,,
com.inet.jortho.SpellChecker.setApplicationName(String),1,1,7,1,,,,,
com.inet.jortho.SpellChecker.setCurrentLocale(Locale),4,3,20,4,,,,,
com.inet.jortho.SpellChecker.setCustomDictionaryProvider(CustomDictionaryProvider),1,1,11,1,,,,,
com.inet.jortho.SpellChecker.setCustomUIProvider(CustomUIProvider),1,1,10,1,,,,,
com.inet.jortho.SpellChecker.setMessageHandler(MessageHandler),2,1,11,2,,,,,
com.inet.jortho.SpellChecker.setUserDictionaryProvider(UserDictionaryProvider),1,1,12,1,,,,,
"com.inet.jortho.SpellChecker.showSpellCheckerDialog(JTextComponent,SpellCheckerOptions)",2,2,28,4,,,,,
com.inet.jortho.SpellChecker.unregister(JTextComponent),1,1,10,1,,,,,
com.inet.jortho.SpellCheckerDialog.SpellCheckerDialog(Dialog),1,1,3,1,,,,,
"com.inet.jortho.SpellCheckerDialog.SpellCheckerDialog(Dialog,boolean,SpellCheckerOptions)",1,2,5,2,,,,,
com.inet.jortho.SpellCheckerDialog.SpellCheckerDialog(Frame),1,1,3,1,,,,,
"com.inet.jortho.SpellCheckerDialog.SpellCheckerDialog(Frame,boolean,SpellCheckerOptions)",1,2,5,2,,,,,
com.inet.jortho.SpellCheckerDialog.actionPerformed(ActionEvent),1,10,35,11,,,,,
com.inet.jortho.SpellCheckerDialog.dispose(),1,2,7,2,,,,,
com.inet.jortho.SpellCheckerDialog.init(),1,6,10,6,,,,,
"com.inet.jortho.SpellCheckerDialog.replaceWord(String,String)",1,1,6,1,,,,,
com.inet.jortho.SpellCheckerDialog.searchNext(),5,10,47,11,,,,,
"com.inet.jortho.SpellCheckerDialog.show(JTextComponent,Dictionary,Locale)",6,5,27,7,,,,,
com.inet.jortho.SpellCheckerOptions.SpellCheckerOptions(),1,1,6,1,,,,,
com.inet.jortho.SpellCheckerOptions.getIgnoreCapitalization(),1,1,8,1,,,,,
com.inet.jortho.SpellCheckerOptions.getSuggestionsLimitDialog(),1,1,8,1,,,,,
com.inet.jortho.SpellCheckerOptions.getSuggestionsLimitMenu(),1,1,8,1,,,,,
com.inet.jortho.SpellCheckerOptions.isCaseSensitive(),1,1,8,1,,,,,
com.inet.jortho.SpellCheckerOptions.isIgnoreAllCapsWords(),1,1,8,1,,,,,
com.inet.jortho.SpellCheckerOptions.isIgnoreWordsWithNumbers(),1,1,8,1,,,,,
com.inet.jortho.SpellCheckerOptions.isLanguageDisableVisible(),1,1,8,1,,,,,
com.inet.jortho.SpellCheckerOptions.setCaseSensitive(boolean),1,1,9,1,,,,,
com.inet.jortho.SpellCheckerOptions.setIgnoreAllCapsWords(boolean),1,1,10,1,,,,,
com.inet.jortho.SpellCheckerOptions.setIgnoreCapitalization(boolean),1,1,10,1,,,,,
com.inet.jortho.SpellCheckerOptions.setIgnoreWordsWithNumbers(boolean),1,1,9,1,,,,,
com.inet.jortho.SpellCheckerOptions.setLanguageDisableVisible(boolean),1,1,9,1,,,,,
com.inet.jortho.SpellCheckerOptions.setSuggestionsLimitDialog(int),1,1,9,1,,,,,
com.inet.jortho.SpellCheckerOptions.setSuggestionsLimitMenu(int),1,1,9,1,,,,,
"com.inet.jortho.Suggestion.Suggestion(CharSequence,int)",1,1,9,1,,,,,
com.inet.jortho.Suggestion.compareTo(Suggestion),1,1,6,1,,,,,
com.inet.jortho.Suggestion.equals(Object),2,2,10,2,,,,,
com.inet.jortho.Suggestion.getDissimilarity(),1,1,8,1,,,,,
com.inet.jortho.Suggestion.getWord(),1,1,7,1,,,,,
com.inet.jortho.Suggestion.hashCode(),1,1,7,1,,,,,
com.inet.jortho.Suggestion.toString(),1,1,7,1,,,,,
com.inet.jortho.Suggestions.Suggestions(int),1,1,7,1,,,,,
com.inet.jortho.Suggestions.add(Suggestion),3,2,14,4,,,,,
com.inet.jortho.Suggestions.getMaxDissimilarity(),1,1,7,1,,,,,
com.inet.jortho.Suggestions.getlist(),1,2,7,2,,,,,
"com.inet.jortho.Tokenizer.Tokenizer(JTextComponent,Dictionary,Locale,SpellCheckerOptions)",1,1,6,1,,,,,
"com.inet.jortho.Tokenizer.Tokenizer(JTextComponent,Dictionary,Locale,int,SpellCheckerOptions)",1,1,11,1,,,,,
"com.inet.jortho.Tokenizer.Tokenizer(JTextComponent,Dictionary,Locale,int,int,SpellCheckerOptions)",1,2,17,2,,3.916666667,,,
com.inet.jortho.Tokenizer.getWordOffset(),1,1,6,1,,,,,
com.inet.jortho.Tokenizer.isFirstWordInSentence(),1,1,8,1,,,,,
com.inet.jortho.Tokenizer.isWebAddress(String),7,10,38,11,,,,,
com.inet.jortho.Tokenizer.loadSentences(),1,1,9,1,,,,,
com.inet.jortho.Tokenizer.nextInvalidWord(),9,15,52,21,,,,,
